Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,680780,-,-,-,33.21,-97.14,-6,203,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,9,0,220,62,633,3.727303982,4.493981934,75.57508565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,9,30,307,72,723,3.846601248,6.497674561,70.98495698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,10,0,386,79,782,3.965898514,8.501397705,66.83859008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,10,30,455,84,823,4.134037018,10.05877075,63.22581787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,11,0,510,88,851,4.302175045,11.61611328,60.24472415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,11,30,398,226,323,4.445617676,12.68184814,57.99437257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,12,0,354,257,175,4.58905983,13.74758301,56.5631794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,12,30,263,237,46,4.655409813,14.35802612,56.01466193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,13,0,188,185,6,4.721759319,14.96849976,56.37485137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,13,30,243,222,39,4.737723351,15.16750488,57.62655427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,14,0,226,208,36,4.753687859,15.36651001,59.71318126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,14,30,197,183,29,4.693059921,15.14388428,62.55030608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,15,0,245,175,173,4.632432461,14.92125854,66.03999482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,15,30,295,76,643,4.405412674,14.04781494,70.08321066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,16,0,203,76,477,4.17839241,13.17434082,74.58801388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,16,30,128,60,372,4.168035984,11.97908936,79.47356987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,17,0,62,62,0,4.157679558,10.78386841,84.67100341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,17,30,0,0,0,4.239974499,10.42421875,90.12086142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,18,0,0,0,0,4.32226944,10.06459961,95.78694851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,18,30,0,0,0,4.36093235,9.771051025,101.6170487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,19,0,0,0,0,4.399595261,9.477502441,107.5834432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,19,30,0,0,0,4.407110214,9.182519531,113.6583547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,20,0,0,0,0,4.414625168,8.887567139,119.8173043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,20,30,0,0,0,4.412239075,8.599603271,126.0375209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,21,0,0,0,0,4.409853458,8.311608887,132.2960052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,21,30,0,0,0,4.359336853,8.051171875,138.566661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,22,0,0,0,0,4.308820724,7.790765381,144.8151504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,22,30,0,0,0,4.201316833,7.517205811,150.9880226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,3,23,0,0,0,0,4.093812466,7.24364624,156.9861213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
